Contract,PaperlessBilling,PaymentMethod,contract_id
Monthly,No,Mailed check,0
One Year,Yes,Bank transfer (automatic),1
Monthly,No,Electronic check,2
Monthly,No,Electronic check,3
Two year,Yes,Electronic check,4
One Year,No,Electronic check,5
One Year,Yes,Mailed check,6
Two year,No,Electronic check,7
Monthly,No,Electronic check,8
Monthly,No,Electronic check,9
One Year,No,Electronic check,10
Monthly,Yes,Mailed check,11
Monthly,Yes,Electronic check,12
Monthly,Yes,Electronic check,13
Two year,No,Credit card (automatic),14
One Year,No,Credit card (automatic),15
One Year,Yes,Bank transfer (automatic),16
Two year,No,Electronic check,17
One Year,No,Electronic check,18
One Year,No,Bank transfer (automatic),19
Monthly,Yes,Electronic check,20
Monthly,No,Mailed check,21
Two year,Yes,Bank transfer (automatic),22
Monthly,No,Bank transfer (automatic),23
Monthly,No,Electronic check,24
One Year,Yes,Electronic check,25
Two year,Yes,Mailed check,26
Monthly,No,Mailed check,27
Monthly,Yes,Mailed check,28
Two year,No,Mailed check,29
One Year,No,Mailed check,30
Monthly,Yes,Credit card (automatic),31
Monthly,No,Mailed check,32
Monthly,Yes,Electronic check,33
Monthly,No,Electronic check,34
Monthly,No,Electronic check,35
Two year,No,Electronic check,36
Two year,Yes,Electronic check,37
Monthly,No,Bank transfer (automatic),38
Two year,No,Mailed check,39
Monthly,No,Electronic check,40
Monthly,Yes,Electronic check,41
One Year,Yes,Mailed check,42
Monthly,Yes,Bank transfer (automatic),43
Two year,No,Mailed check,44
Monthly,Yes,Mailed check,45
Monthly,Yes,Bank transfer (automatic),46
Monthly,No,Mailed check,47
One Year,Yes,Electronic check,48
One Year,No,Mailed check,49
Monthly,No,Bank transfer (automatic),50
Monthly,Yes,Electronic check,51
One Year,No,Electronic check,52
Monthly,Yes,Bank transfer (automatic),53
Monthly,Yes,Electronic check,54
One Year,No,Mailed check,55
Two year,Yes,Mailed check,56
Monthly,No,Bank transfer (automatic),57
Two year,Yes,Electronic check,58
Monthly,Yes,Electronic check,59
Two year,Yes,Credit card (automatic),60
Monthly,No,Mailed check,61
Two year,Yes,Bank transfer (automatic),62
Two year,Yes,Bank transfer (automatic),63
One Year,Yes,Electronic check,64
Monthly,Yes,Credit card (automatic),65
Monthly,No,Credit card (automatic),66
Monthly,Yes,Electronic check,67
Monthly,No,Electronic check,68
Monthly,Yes,Bank transfer (automatic),69
Two year,Yes,Electronic check,70
Monthly,Yes,Mailed check,71
Monthly,No,Electronic check,72
Monthly,Yes,Electronic check,73
Monthly,Yes,Bank transfer (automatic),74
Monthly,No,Credit card (automatic),75
One Year,No,Mailed check,76
Monthly,Yes,Electronic check,77
Monthly,No,Electronic check,78
One Year,Yes,Bank transfer (automatic),79
One Year,Yes,Credit card (automatic),80
Monthly,No,Credit card (automatic),81
Two year,Yes,Electronic check,82
Monthly,Yes,Mailed check,83
Monthly,No,Mailed check,84
Monthly,No,Bank transfer (automatic),85
Monthly,No,Credit card (automatic),86
Monthly,Yes,Electronic check,87
Monthly,No,Unknown,88
One Year,Yes,Mailed check,89
Monthly,Yes,Unknown,90
One Year,No,Electronic check,91
One Year,No,Mailed check,92
Monthly,No,Electronic check,93
Monthly,Yes,Bank transfer (automatic),94
Two year,No,Credit card (automatic),95
Monthly,Yes,Electronic check,96
Monthly,No,Electronic check,97
One Year,Yes,Electronic check,98
One Year,No,Credit card (automatic),99
Two year,Yes,Bank transfer (automatic),100
Monthly,No,Bank transfer (automatic),101
Monthly,Yes,Bank transfer (automatic),102
Two year,Yes,Mailed check,103
