customerID,gender,SeniorCitizen,Partner,Depndents,Churn
CUST00001,Male,No,No,Yes,Yes
CUST00002,Male,Yes,Yes,No,No
CUST00003,Female,No,No,No,Yes
CUST00004,Female,No,No,Yes,No
CUST00005,Male,Yes,Yes,Yes,Yes
CUST00006,Male,No,Yes,No,Yes
CUST00007,Female,No,No,No,No
CUST00008,Female,No,Yes,No,No
CUST00009,Female,No,Yes,No,No
CUST00010,Female,No,Yes,No,Yes
CUST00011,Female,No,No,No,No
CUST00012,Male,No,Yes,No,Yes
CUST00013,Female,Yes,Yes,No,No
CUST00014,Male,No,Yes,No,Yes
CUST00015,Male,No,Yes,No,No
CUST00016,Female,No,No,No,No
CUST00017,Female,No,Yes,No,No
CUST00018,Female,No,Yes,No,No
CUST00019,Female,No,Yes,No,No
CUST00020,Male,No,Yes,Yes,No
CUST00021,Male,No,No,Yes,Yes
CUST00022,Female,No,No,No,Yes
CUST00023,Male,No,Yes,No,Yes
CUST00024,Male,No,No,No,No
CUST00025,Male,No,Yes,No,Yes
CUST00026,Male,Yes,No,No,No
CUST00027,Male,No,No,No,No
CUST00028,Female,No,No,No,Yes
CUST00029,Female,No,No,No,Yes
CUST00030,Male,No,Yes,No,No
CUST00031,Female,Yes,No,No,No
CUST00032,Male,No,No,No,Yes
CUST00033,Female,No,No,Yes,Yes
CUST00034,Male,Yes,Yes,No,Yes
CUST00035,Female,No,No,Yes,Yes
CUST00036,Female,No,No,Yes,Yes
CUST00037,Male,No,Yes,Yes,No
CUST00038,Female,No,Yes,Yes,No
CUST00039,Male,No,No,No,Yes
CUST00040,Male,No,No,Yes,No
CUST00041,Female,No,Yes,Yes,Yes
CUST00042,Male,No,Yes,Yes,No
CUST00043,Female,No,Yes,Yes,No
CUST00044,Female,No,No,No,Yes
CUST00045,Female,No,Unknown,No,No
CUST00046,Unknown,No,No,No,Yes
CUST00047,Female,No,No,Yes,Yes
CUST00048,Female,No,No,Yes,No
CUST00049,Male,No,Yes,Yes,No
CUST00050,Male,No,No,Yes,No
CUST00051,Female,No,No,Yes,No
CUST00052,Male,No,No,No,No
CUST00053,Male,Yes,Yes,Yes,No
CUST00054,Female,Yes,No,No,Yes
CUST00055,Female,No,No,No,No
CUST00056,Unknown,No,No,Yes,Yes
CUST00057,Male,No,No,Unknow,Yes
CUST00058,Male,No,Yes,No,No
CUST00059,Female,No,Yes,No,No
CUST00060,Female,No,Yes,Yes,Yes
CUST00061,Male,No,No,No,No
CUST00062,Male,No,Yes,No,Yes
CUST00063,Male,No,Yes,No,No
CUST00064,Male,No,No,No,No
CUST00065,Male,No,Yes,No,No
CUST00066,Female,No,Yes,Yes,Yes
CUST00067,Female,No,Yes,No,Yes
CUST00068,Male,Yes,No,Yes,Yes
CUST00069,Male,No,No,Yes,No
CUST00070,Female,No,Yes,Yes,Yes
CUST00071,Male,No,No,No,Yes
CUST00072,Male,No,No,Unknow,Yes
CUST00073,Female,No,Yes,No,Yes
CUST00074,Female,No,No,No,Yes
CUST00075,Female,Unknown,Yes,No,Yes
CUST00076,Male,No,No,Unknow,Yes
CUST00077,Female,No,No,No,No
CUST00078,Female,No,Yes,No,No
CUST00079,Female,No,No,No,Yes
CUST00080,Female,No,Yes,No,No
CUST00081,Male,No,Yes,Yes,No
CUST00082,Female,No,No,No,Yes
CUST00083,Male,No,No,Yes,No
CUST00084,Female,No,No,No,Yes
CUST00085,Female,No,No,No,Yes
CUST00086,Male,No,Yes,Yes,Yes
CUST00087,Male,No,No,No,No
CUST00088,Male,No,Yes,Unknow,Yes
CUST00089,Female,Yes,No,No,Yes
CUST00090,Male,Yes,No,No,No
CUST00091,Male,No,No,No,Yes
CUST00092,Male,No,No,No,No
CUST00093,Female,No,No,Yes,Yes
CUST00094,Female,Yes,Yes,No,No
CUST00095,Female,Unknown,No,No,Yes
CUST00096,Female,Yes,No,Yes,No
CUST00097,Female,No,No,Yes,Yes
CUST00098,Female,No,No,No,No
CUST00099,Male,No,Yes,No,Yes
CUST00100,Male,No,No,No,No
CUST00101,Female,No,No,No,No
CUST00102,Female,No,No,No,Yes
CUST00103,Female,No,No,No,No
CUST00104,Female,No,Yes,No,No
CUST00105,Female,No,Yes,Yes,Yes
CUST00106,Female,No,No,Yes,No
CUST00107,Female,Yes,No,No,Yes
CUST00108,Male,No,Yes,No,Yes
CUST00109,Female,No,No,Yes,No
CUST00110,Female,No,No,No,No
CUST00111,Male,No,No,Unknow,No
CUST00112,Male,No,Yes,No,No
CUST00113,Male,No,Yes,No,Yes
CUST00114,Female,No,Yes,Yes,No
CUST00115,Male,No,Yes,No,No
CUST00116,Female,No,Yes,No,No
CUST00117,Female,No,Yes,Unknow,Yes
CUST00118,Male,No,No,Yes,No
CUST00119,Female,No,No,No,Yes
CUST00120,Female,Yes,No,Yes,Yes
CUST00121,Female,No,No,No,Yes
CUST00122,Female,Yes,Yes,Unknow,Yes
CUST00123,Male,No,No,Yes,No
CUST00124,Male,No,Yes,No,No
CUST00125,Female,No,Yes,Unknow,No
CUST00126,Female,No,Yes,Yes,Yes
CUST00127,Male,No,No,No,Yes
CUST00128,Male,No,No,No,Yes
CUST00129,Male,No,Yes,No,Yes
CUST00130,Male,No,No,No,Yes
CUST00131,Female,Yes,Yes,Yes,No
CUST00132,Female,No,Yes,Yes,No
CUST00133,Male,No,Yes,Yes,No
CUST00134,Male,Yes,No,No,No
CUST00135,Female,Yes,Yes,No,Yes
CUST00136,Male,No,No,No,No
CUST00137,Male,No,No,No,Yes
CUST00138,Male,No,No,No,No
CUST00139,Male,No,Yes,Yes,No
CUST00140,Male,No,Yes,No,No
CUST00141,Female,No,No,Yes,No
CUST00142,Male,Yes,No,No,No
CUST00143,Female,No,Yes,No,No
CUST00144,Male,Yes,No,No,Yes
CUST00145,Male,No,Yes,Yes,No
CUST00146,Female,No,Unknown,No,Yes
CUST00147,Female,No,Yes,No,Yes
CUST00148,Male,No,No,Yes,No
