PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,service_id
Yes,Yes,No,No,No,No,No,No,No,0
Yes,Yes,DSL,No,No,No,Yes,Unknown,No,1
Yes,Yes,DSL,No,Yes,No,Unknown,Yes,Yes,2
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,3
Yes,Unknown,Fiber optic,Yes,No,Yes,No,No,No,4
Yes,No,Fiber optic,No,No,Unknown,Yes,Unknown,No,5
Yes,Yes,No,No,No,No,No,No,No,6
Yes,Yes,Fiber optic,No,Unknown,No,No,No,Unknown,7
Yes,Yes,DSL,Yes,No,No,No,No,No,8
Yes,No,No,No,No,No,No,No,No,9
Yes,No,No,No,No,No,No,No,No,10
Yes,No,No,No,No,No,No,No,No,11
Yes,Yes,DSL,No,No,No,Yes,No,No,12
Yes,Unknown,Fiber optic,No,No,No,Unknown,No,No,13
Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,14
No,No,Fiber optic,Yes,No,Yes,Yes,No,No,15
Yes,Yes,No,No,No,No,No,No,No,16
Yes,Yes,No,No,No,No,No,No,No,17
Yes,No,DSL,No,No,No,No,Yes,No,18
Yes,No,No,No,No,No,No,No,No,19
Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,20
Yes,Yes,No,No,No,No,No,No,No,21
Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,22
Yes,Unknown,DSL,Yes,No,No,Yes,Yes,No,23
Yes,No,Fiber optic,No,No,No,No,No,Yes,24
Yes,Yes,DSL,Yes,No,No,Unknown,Unknown,Yes,25
Yes,Yes,No,No,No,No,No,No,No,26
Yes,No,Fiber optic,No,No,No,No,Yes,No,27
Yes,Yes,Fiber optic,No,No,No,No,No,No,28
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,29
Yes,No,DSL,No,No,Unknown,No,Unknown,No,30
Yes,No,Fiber optic,No,No,No,No,No,Yes,31
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,32
Yes,Yes,No,No,No,No,No,No,No,33
Yes,No,DSL,No,No,Yes,No,No,Yes,34
Yes,Yes,No,No,No,No,No,No,No,35
Yes,Yes,Fiber optic,No,Unknown,No,Yes,Yes,No,36
Yes,No,DSL,No,No,No,No,No,No,37
Yes,Yes,No,No,No,No,No,No,No,38
Yes,No,DSL,No,No,No,Yes,No,No,39
Yes,No,Fiber optic,No,Yes,No,No,No,No,40
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,41
Yes,Unknown,Fiber optic,No,Unknown,No,No,Yes,Yes,42
Yes,Yes,No,No,No,No,No,No,No,43
Yes,No,Fiber optic,Yes,Yes,No,No,No,No,44
Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,45
Yes,Yes,No,No,No,No,No,No,No,46
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,47
Yes,Yes,No,No,No,No,No,No,No,48
Yes,No,Fiber optic,No,Unknown,Yes,No,Yes,Unknown,49
Yes,Yes,DSL,No,No,Unknown,No,No,No,50
Yes,No,No,No,No,No,No,No,No,51
Yes,Yes,Fiber optic,Yes,Unknown,Yes,Yes,No,No,52
Yes,Yes,Fiber optic,No,Yes,No,Yes,Unknown,Yes,53
Yes,No,Fiber optic,No,No,No,No,No,No,54
Yes,Yes,Fiber optic,No,No,No,No,No,No,55
Yes,No,Fiber optic,No,No,No,No,No,No,56
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,57
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,58
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,59
No,No,Fiber optic,No,No,No,Yes,No,No,60
Yes,No,DSL,No,No,No,No,No,Yes,61
Yes,Yes,DSL,No,No,No,No,Yes,No,62
Yes,Yes,DSL,Yes,No,Yes,No,No,No,63
No,No,DSL,Yes,No,No,No,No,No,64
Yes,Yes,Fiber optic,No,No,No,No,No,No,65
Yes,Yes,DSL,No,Yes,No,No,No,No,66
Yes,No,Fiber optic,Unknown,Yes,Yes,No,No,No,67
Yes,No,DSL,No,No,No,No,No,No,68
No,No,Fiber optic,No,No,No,No,No,No,69
Yes,No,Fiber optic,No,No,No,Yes,No,No,70
Yes,No,No,No,No,No,No,No,No,71
Yes,Yes,DSL,No,No,No,No,No,Yes,72
Yes,Yes,No,No,No,No,No,No,No,73
Yes,No,Fiber optic,No,No,No,No,No,No,74
Yes,Yes,DSL,Yes,No,Yes,No,No,No,75
Yes,Yes,DSL,No,No,Unknown,Yes,No,No,76
Yes,No,Fiber optic,No,No,No,No,No,No,77
Yes,No,Fiber optic,No,No,No,Yes,No,Yes,78
Yes,No,No,No,No,No,No,No,No,79
Yes,No,No,No,No,No,No,No,No,80
Yes,Yes,Fiber optic,No,No,Unknown,No,No,Unknown,81
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,82
Yes,Yes,Fiber optic,Yes,No,No,Unknown,Yes,No,83
Yes,No,Fiber optic,No,No,No,No,No,Yes,84
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,85
Yes,No,Fiber optic,No,No,No,No,No,No,86
Yes,Unknown,Fiber optic,No,No,No,No,No,No,87
Yes,No,No,No,No,No,No,No,No,88
Yes,Yes,DSL,Yes,No,No,Unknown,No,Unknown,89
Yes,No,DSL,No,Yes,No,No,No,Unknown,90
Yes,No,Fiber optic,No,Unknown,Yes,No,No,No,91
Yes,Yes,Fiber optic,No,No,No,No,No,No,92
