customerID,tenure,MonthlyCharges,TotalCharges,fact_id,service_id,contract_id
CUST00001,3.0,68.61,205.83,0,0,0
CUST00002,2.0,23.15,46.3,1,1,1
CUST00003,42.0,42.63,1790.4601,2,2,2
CUST00004,40.0,75.04,3001.6,3,3,3
CUST00005,17.0,22.38,380.46,4,4,4
CUST00006,18.0,37.23,670.14,5,5,5
CUST00007,25.0,67.47,1686.75,6,6,6
CUST00008,33.0,76.3,2517.9001,7,7,7
CUST00009,6.0,64.86,389.16,8,8,8
CUST00010,5.0,18.6,93.0,9,9,9
CUST00011,18.0,49.17,885.05994,10,10,10
CUST00012,22.0,23.2,510.40002,11,11,11
CUST00013,10.0,34.57,345.7,12,12,12
CUST00014,2.0,48.36,96.72,13,13,13
CUST00015,8.0,53.36,426.88,14,14,14
CUST00016,5.0,39.14,195.7,15,15,15
CUST00017,47.0,38.42,1805.7399,16,16,16
CUST00018,28.0,99.53,2786.8398,17,17,17
CUST00019,44.0,22.64,996.16,18,18,18
CUST00020,12.0,117.22,1406.64,19,19,19
CUST00021,10.0,102.35,1023.5,20,20,20
CUST00022,38.0,61.27,2328.26,21,21,21
CUST00023,21.0,36.96,776.16,22,22,22
CUST00024,4.0,42.01,168.04,23,23,23
CUST00025,16.0,1212.43,19398.88,24,24,24
CUST00026,29.0,111.0,3219.0,25,25,25
CUST00027,5.0,43.36,216.8,26,26,26
CUST00028,51.0,100.42,5121.42,27,27,27
CUST00029,15.0,68.06,1020.89996,28,28,28
CUST00030,10.0,115.47,1154.7,29,29,29
CUST00031,9.0,24.62,221.58,30,30,30
CUST00032,23.0,49.92,1148.1599,31,31,31
CUST00033,43.0,77.96,3352.28,32,32,32
CUST00034,34.0,21.07,716.38,33,33,33
CUST00035,6.0,99.14,594.83997,34,34,34
CUST00036,31.0,85.96,2664.76,35,35,35
CUST00037,31.0,45.99,1425.6901,36,36,36
CUST00038,19.0,23.12,439.28003,37,37,37
CUST00039,45.0,37.07,1668.15,38,38,38
CUST00040,29.0,35.99,1043.7101,39,39,39
CUST00041,17.0,117.44,1996.48,40,40,40
CUST00042,999.0,31.6,31568.4,41,41,41
CUST00043,2.0,44.4,88.8,42,42,42
CUST00044,42.0,18.33,769.86,43,43,43
CUST00045,29.0,50.0,1450.0,44,44,44
CUST00046,8.0,48.06,384.48,45,45,45
CUST00047,7.0,102.27,715.88995,46,46,46
CUST00048,17.0,96.78,1645.26,47,47,47
CUST00049,25.0,20.99,524.75,48,48,48
CUST00050,16.0,79.64,1274.24,49,49,49
CUST00051,2.0,30.05,60.1,50,50,50
CUST00052,31.0,31.16,965.96,51,51,51
CUST00053,65.0,28.35,1842.75,52,52,52
CUST00054,14.0,1384.42,19381.88,53,53,53
CUST00055,45.0,21.97,988.64996,54,54,54
CUST00056,999.0,46.13,46083.87,55,55,55
CUST00057,10.0,20.05,200.5,56,56,56
CUST00058,19.0,26.62,505.78003,57,57,57
CUST00059,43.0,32.0,1376.0,58,58,58
CUST00060,42.0,42.09,1767.78,59,59,59
CUST00061,9.0,98.68,888.12,60,60,60
CUST00062,20.0,49.13,982.60004,61,61,61
CUST00063,13.0,100.45,1305.85,62,62,62
CUST00064,32.0,24.44,782.08,63,63,63
CUST00065,17.0,80.1,1361.7,64,64,64
CUST00066,19.0,41.59,790.21,65,65,65
CUST00067,38.0,43.94,1669.72,66,66,66
CUST00068,10.0,47.55,475.5,67,67,67
CUST00069,5.0,79.33,396.65002,68,68,68
CUST00070,22.0,28.01,616.22003,69,69,69
CUST00071,23.0,19.18,441.14,70,70,70
CUST00072,26.0,33.37,867.62,71,71,71
CUST00073,71.0,22.95,1629.4501,72,72,72
CUST00074,47.0,47.45,2230.1501,73,73,73
CUST00075,10.0,19.46,194.59999,74,74,74
CUST00076,17.0,30.7,521.9,75,75,75
CUST00077,36.0,43.51,1566.36,76,76,76
CUST00078,47.0,20.92,983.24,77,77,77
CUST00079,11.0,81.44,895.84,78,78,78
CUST00080,41.0,48.2,1976.2001,79,79,79
CUST00081,22.0,27.59,606.98,80,80,80
CUST00082,14.0,23.47,328.58,81,81,81
CUST00083,5.0,99.35,496.75,82,82,82
CUST00084,24.0,38.22,917.28,83,83,83
CUST00085,9.0,53.92,485.27997,84,84,84
CUST00086,3.0,37.81,113.43001,85,85,85
CUST00087,20.0,93.54,1870.8,86,86,86
CUST00088,11.0,24.79,272.69,87,87,87
CUST00089,14.0,37.44,524.16,88,88,88
CUST00090,23.0,45.37,1043.51,89,89,89
CUST00091,22.0,41.19,906.18,90,90,90
CUST00092,21.0,68.4,1436.4,91,91,91
CUST00093,26.0,66.57,1730.82,92,92,92
CUST00094,33.0,99.06,3268.98,93,93,93
CUST00095,4.0,32.73,130.92,94,94,94
CUST00096,38.0,90.74,3448.1199,95,95,95
CUST00097,10.0,109.57,1095.7,96,96,96
CUST00098,2.0,44.5,89.0,97,97,97
CUST00099,41.0,20.27,831.07,98,98,98
CUST00100,50.0,26.9,1345.0,99,99,99
CUST00101,23.0,24.69,567.87,100,100,100
CUST00102,15.0,32.71,490.65,101,101,101
CUST00103,6.0,22.5,135.0,102,102,102
CUST00104,23.0,39.09,899.07,103,103,103
CUST00105,6.0,19.88,119.28,104,104,104
CUST00106,23.0,46.34,1065.82,105,105,105
CUST00107,28.0,48.96,1370.88,106,106,106
CUST00108,12.0,35.53,426.36,107,107,107
CUST00109,39.0,42.81,1669.5901,108,108,108
CUST00110,11.0,18.39,202.29,109,109,109
CUST00111,31.0,34.95,1083.4501,110,110,110
CUST00112,42.0,27.34,1148.28,111,111,111
CUST00113,32.0,51.7,1654.4,112,112,112
CUST00114,21.0,25.91,544.11,113,113,113
CUST00115,32.0,33.35,1067.2,114,114,114
CUST00116,47.0,107.81,5067.07,115,115,115
CUST00117,11.0,37.47,412.17,116,116,116
CUST00118,29.0,41.41,1200.89,117,117,117
CUST00119,38.0,41.19,1565.22,118,118,118
CUST00120,24.0,55.0,1320.0,119,119,119
CUST00121,25.0,47.76,1194.0,120,120,120
CUST00122,22.0,18.45,405.90002,121,121,121
CUST00123,8.0,18.68,149.44,122,122,122
CUST00124,30.0,45.2,1356.0,123,123,123
CUST00125,48.0,42.55,2042.3999,124,124,124
CUST00126,12.0,86.05,1032.6001,125,125,125
CUST00127,10.0,46.27,462.7,126,126,126
CUST00128,31.0,38.43,1191.33,127,127,127
CUST00129,10.0,66.32,663.2,128,128,128
CUST00130,34.0,35.13,1194.42,129,129,129
CUST00131,3.0,88.78,266.34,130,130,130
CUST00132,46.0,45.97,2114.62,131,131,131
CUST00133,12.0,36.15,433.80002,132,132,132
CUST00134,39.0,1072.54,41829.062,133,133,133
CUST00135,6.0,63.73,382.38,134,134,134
